id,idedge,idnodo,hash,type,date,temperatura,umidade,rele,description
0,10038,300,31bca02094eb78126a517b206a88c73cfa9ec6f704c7030d18212cace820f025f00bf0ea68dbf3f3a5436ca63b53bf7bf80ad8d5de7d8359d0b7fed9dbc3ab99,10,2023-09-08T14:16:20.396091,21,79,off,Alert data
1,9965,146,4dff4ea340f0a823f15d3f4f01ab62eae0e5da579ccb851f8db9dfe84c58b2b37b89903a740e1ee172da793a6e79d560e5f7f9bd058a12a280433ed6fa46510a,5,2023-09-08T14:16:20.396091,21,79,on,Alert data
2,2243,823,40b244112641dd78dd4f93b6c9190dd46e0099194d5a44257b7efad6ef9ff4683da1eda0244448cb343aa688f5d3efd7314dafe580ac0bcbf115aeca9e8dc114,5,2023-09-08T14:16:20.396091,20,80,on,Alert data
3,448,890,3bafbf08882a2d10133093a1b8433f50563b93c14acd05b79028eb1d12799027241450980651994501423a66c276ae26c43b739bc65c4e16b10c3af6c202aebb,4,2023-09-08T14:16:20.396091,21,79,on,Alert data
4,1481,974,a321d8b405e3ef2604959847b36d171eebebc4a8941dc70a4784935a4fca5d5813de84dfa049f06549aa61b20848c1633ce81b675286ea8fb53db240d831c568,8,2023-09-08T14:16:20.396091,21,80,on,Alert data
5,10016,774,06df05371981a237d0ed11472fae7c94c9ac0eff1d05413516710d17b10a4fb6f4517bda4a695f02d0a73dd4db543b4653df28f5d09dab86f92ffb9b86d01e25,7,2023-09-08T14:16:20.396091,20,79,off,Alert data
6,5101,720,3c9ad55147a7144f6067327c3b82ea70e7c5426add9ceea4d07dc2902239bf9e049b88625eb65d014a7718f79354608cab0921782c643f0208983fffa3582e40,10,2023-09-08T14:16:20.396091,21,80,off,Alert data
7,8337,552,f05210c5b4263f0ec4c3995bdab458d81d3953f354a9109520f159db1e8800bcd45b97c56dce90a1fc27ab03e0b8a9af8673747023c406299374116d6f966981,2,2023-09-08T14:16:20.396091,20,80,off,Alert data
8,2909,421,bc23b8b01772d2dd67efb8fe1a5e6bd0f44b97c36101be6cc09f253b53e68d67a22e4643068dfd1341980134ea57570acf65e306e4d96cef4d560384894c88a4,7,2023-09-08T14:16:20.396091,21,79,on,Alert data
9,602,121,0dc526d8c4fa04084f4b2a6433f4cd14664b93df9fb8a9e00b77ba890b83704d24944c93caa692b51085bb476f81852c27e793600f137ae3929018cd4c8f1a45,6,2023-09-08T14:16:20.396091,20,79,on,Alert data
